time,session,status,asr_ms,mt_ms,lag_s,last_caption_age_s
1790303989,cap-1,live,2145.0,3780.6,3.74,2.9
1790303989,cap-2,live,2116.7,2351.3,2.11,2.1
1790303989,cap-3,live,2481.1,3393.4,4.7,4.0
1790303989,cap-4,waiting,,,0.0,
1790303994,cap-1,live,2577.8,2150.2,4.13,2.6
1790303994,cap-2,live,2763.0,2351.3,5.44,1.6
1790303994,cap-3,live,2507.0,2789.2,4.86,3.6
1790303994,cap-4,waiting,,,0.0,
1790303999,cap-1,live,2519.7,2974.4,2.91,2.5
1790303999,cap-2,live,2555.7,2351.3,2.5,0.7
1790303999,cap-3,live,2144.9,4901.8,5.76,3.7
1790303999,cap-4,waiting,,,0.0,
1790304004,cap-1,live,2866.0,2974.4,2.91,4.6
1790304004,cap-2,live,2853.6,2351.3,2.5,2.8
1790304004,cap-3,live,2873.7,2978.4,3.87,3.5
1790304004,cap-4,waiting,,,0.0,
1790304009,cap-1,live,971.8,6539.3,4.54,1.8
1790304009,cap-2,live,1153.0,2351.3,1.18,3.3
1790304009,cap-3,live,2095.2,6801.4,5.15,4.2
1790304009,cap-4,waiting,,,0.0,
1790304014,cap-1,live,3128.7,3744.0,4.45,1.2
1790304014,cap-2,live,3319.5,1316.9,4.86,0.2
1790304014,cap-3,live,2974.7,3572.8,3.17,2.3
1790304014,cap-4,waiting,,,0.0,
1790304019,cap-1,live,891.7,3744.0,4.45,3.7
1790304019,cap-2,live,1206.1,1316.9,4.86,3.0
1790304019,cap-3,live,1756.0,3572.8,3.17,4.4
1790304019,cap-4,waiting,,,0.0,
1790304024,cap-1,live,1937.6,8650.1,1.92,1.8
1790304024,cap-2,live,1931.7,2259.7,3.01,3.2
1790304024,cap-3,live,1833.2,9329.4,3.17,2.5
1790304024,cap-4,waiting,,,0.0,
1790304029,cap-1,live,844.3,8650.1,1.92,1.0
1790304029,cap-2,live,2609.3,1667.1,3.33,3.1
1790304029,cap-3,live,2075.3,9329.4,3.68,2.1
1790304029,cap-4,waiting,,,0.0,
1790304034,cap-1,live,1103.8,7826.3,1.92,4.0
1790304034,cap-2,live,2170.2,1667.1,2.75,2.5
1790304034,cap-3,live,1742.5,7030.4,3.68,3.3
1790304034,cap-4,waiting,,,0.0,
1790304039,cap-1,live,3251.6,7826.3,4.0,3.5
1790304039,cap-2,live,3424.9,1458.7,2.37,2.3
1790304039,cap-3,live,3014.4,7030.4,2.69,1.6
1790304039,cap-4,waiting,,,0.0,
1790304044,cap-1,live,1301.9,7826.3,3.04,3.1
1790304044,cap-2,live,1725.7,8075.6,1.98,0.6
1790304044,cap-3,live,2475.2,8566.6,3.58,1.3
1790304044,cap-4,waiting,,,0.0,
1790304049,cap-1,live,2376.0,8853.7,3.04,4.5
1790304049,cap-2,live,2176.4,4563.1,3.78,3.4
1790304049,cap-3,live,1172.9,8566.6,3.58,2.6
1790304049,cap-4,waiting,,,0.0,
1790304054,cap-1,live,1736.0,2949.2,2.14,1.8
1790304054,cap-2,live,838.9,4563.1,3.78,2.7
1790304054,cap-3,live,2682.6,3019.9,3.49,5.0
1790304054,cap-4,waiting,,,0.0,
1790304059,cap-1,live,1242.1,2949.2,2.14,0.9
1790304059,cap-2,live,867.4,2495.7,3.71,1.6
1790304059,cap-3,live,2498.9,6741.7,2.91,3.4
1790304059,cap-4,waiting,,,0.0,
1790304064,cap-1,live,2125.5,6542.2,2.14,2.5
1790304064,cap-2,live,2149.9,2495.7,3.71,3.5
1790304064,cap-3,live,1279.8,6741.7,2.91,4.6
1790304064,cap-4,waiting,,,0.0,
1790304069,cap-1,live,2908.3,5313.3,4.35,3.1
1790304069,cap-2,live,2590.2,2495.7,2.37,2.4
1790304069,cap-3,live,2455.0,5379.3,3.26,1.7
1790304069,cap-4,waiting,,,0.0,
1790304074,cap-1,live,2697.8,9317.9,3.87,0.8
1790304074,cap-2,live,2449.5,2538.4,5.12,2.7
1790304074,cap-3,live,2450.4,9250.4,2.88,1.7
1790304074,cap-4,waiting,,,0.0,
1790304079,cap-1,live,3176.6,2740.3,4.51,3.0
1790304079,cap-2,live,2751.6,2538.4,2.75,4.0
1790304079,cap-3,live,1801.8,2724.2,2.88,5.2
1790304079,cap-4,waiting,,,0.0,
1790304084,cap-1,live,2890.0,4112.8,4.26,2.6
1790304084,cap-2,live,2449.5,12025.3,3.39,3.7
1790304084,cap-3,live,2869.7,4055.9,4.83,1.9
1790304084,cap-4,waiting,,,0.0,
1790304089,cap-1,live,3021.3,6347.4,3.71,3.2
1790304089,cap-2,live,3165.0,2452.2,4.61,1.2
1790304089,cap-3,live,2972.7,5666.6,4.58,2.2
1790304089,cap-4,waiting,,,0.0,
1790304094,cap-1,live,1158.1,3458.9,3.71,5.4
1790304094,cap-2,live,1806.8,2452.2,3.97,2.8
1790304094,cap-3,live,2120.4,4987.8,4.58,3.8
1790304094,cap-4,waiting,,,0.0,
1790304099,cap-1,live,2628.8,3279.8,3.49,2.3
1790304099,cap-2,live,2817.6,12474.9,3.97,3.1
1790304099,cap-3,live,2089.1,2990.2,2.34,3.9
1790304099,cap-4,waiting,,,0.0,
1790304104,cap-1,live,1475.6,5851.8,1.44,1.5
1790304104,cap-2,live,1658.4,3418.0,3.46,2.5
1790304104,cap-3,live,1949.1,5770.6,2.34,4.9
1790304104,cap-4,waiting,,,0.0,
1790304109,cap-1,live,1902.7,5851.8,1.44,4.5
1790304109,cap-2,live,2051.8,3418.0,3.46,3.8
1790304109,cap-3,live,2364.6,5770.6,4.8,3.0
1790304109,cap-4,waiting,,,0.0,
1790304114,cap-1,live,2702.2,5876.4,3.1,1.9
1790304114,cap-2,live,2682.6,10021.2,2.3,3.6
1790304114,cap-3,live,2869.2,6096.1,4.8,2.8
1790304114,cap-4,waiting,,,0.0,
1790304119,cap-1,live,2165.9,8781.2,5.06,2.2
1790304119,cap-2,live,2470.0,2622.7,5.5,3.7
1790304119,cap-3,live,1968.5,8767.1,3.1,1.0
1790304119,cap-4,waiting,,,0.0,
1790304124,cap-1,live,3016.9,3257.4,5.02,4.2
1790304124,cap-2,live,2948.0,2622.7,2.94,5.0
1790304124,cap-3,live,2751.7,3298.0,4.03,3.3
1790304124,cap-4,waiting,,,0.0,
1790304129,cap-1,live,2856.8,3324.6,6.05,3.5
1790304129,cap-2,live,2789.5,10278.0,3.46,4.4
1790304129,cap-3,live,3197.8,3274.8,3.62,2.4
1790304129,cap-4,waiting,,,0.0,
1790304134,cap-1,live,2012.5,5985.9,3.84,1.4
1790304134,cap-2,live,2392.1,5478.1,1.66,2.8
1790304134,cap-3,live,2381.7,6009.1,5.12,2.1
1790304134,cap-4,waiting,,,0.0,
1790304139,cap-1,live,1507.9,3274.1,3.84,2.8
1790304139,cap-2,live,1835.4,5478.1,4.29,3.6
1790304139,cap-3,live,2550.4,3423.2,5.12,4.5
1790304139,cap-4,waiting,,,0.0,
1790304187,cap-1,live,644.1,0.0,0.0,3.3
1790304187,cap-2,live,1169.3,0.0,0.0,2.7
1790304187,cap-3,live,1738.5,0.0,0.0,2.2
1790304187,cap-4,live,2172.4,0.0,0.0,1.6
1790304192,cap-1,live,3560.5,1963.1,3.97,2.1
1790304192,cap-2,live,3492.7,0.0,4.64,0.6
1790304192,cap-3,live,3711.7,3573.3,4.7,1.3
1790304192,cap-4,live,2172.4,0.0,0.0,6.6
1790304197,cap-1,live,3295.9,3373.0,3.71,3.8
1790304197,cap-2,live,3492.7,5270.5,4.64,5.6
1790304197,cap-3,live,3554.5,3573.3,4.67,2.8
1790304197,cap-4,live,3385.0,5256.0,5.47,4.7
1790304202,cap-1,live,4317.9,5227.4,5.98,4.5
1790304202,cap-2,live,3686.2,4939.0,3.65,2.8
1790304202,cap-3,live,3984.1,4026.4,6.59,3.8
1790304202,cap-4,live,3997.9,4237.7,4.67,1.6
1790304207,cap-1,live,4054.3,4616.9,5.02,1.4
1790304207,cap-2,live,4170.0,4939.0,5.63,3.6
1790304207,cap-3,live,3776.2,4960.0,6.08,0.6
1790304207,cap-4,live,4028.3,4237.7,6.53,2.6
1790304212,cap-1,live,3082.7,3955.9,3.81,3.4
1790304212,cap-2,live,3822.8,4939.0,5.63,4.8
1790304212,cap-3,live,3159.6,3044.9,4.64,2.4
1790304212,cap-4,live,3514.7,4237.7,6.53,4.1
1790304217,cap-1,live,3828.4,6396.4,3.81,4.5
1790304217,cap-2,live,3459.0,4939.0,5.5,2.8
1790304217,cap-3,live,3721.2,5710.5,4.64,3.7
1790304217,cap-4,live,3314.9,4237.7,6.14,2.0
1790304222,cap-1,live,1825.4,6396.4,1.7,3.0
1790304222,cap-2,live,2874.9,4939.0,5.5,2.0
1790304222,cap-3,live,2633.3,5710.5,2.62,3.9
1790304222,cap-4,live,3368.0,4237.7,3.33,1.0
1790304227,cap-1,live,3610.9,6497.5,4.1,4.4
1790304227,cap-2,live,3455.9,4939.0,6.02,3.5
1790304227,cap-3,live,3604.1,5732.3,2.62,5.3
1790304227,cap-4,live,3281.8,4237.7,4.42,2.8
1790304232,cap-1,live,3524.9,4239.4,5.79,2.3
1790304232,cap-2,live,3519.0,4939.0,7.36,5.0
1790304232,cap-3,live,3682.2,3680.1,8.26,3.1
1790304232,cap-4,live,3576.6,4237.7,4.42,4.2
1790304237,cap-1,live,4085.7,2956.3,4.64,3.3
1790304237,cap-2,live,3625.8,4939.0,6.27,2.3
1790304237,cap-3,live,3874.4,2846.3,7.39,0.4
1790304237,cap-4,live,3578.4,4237.7,4.74,1.5
1790304242,cap-1,live,3655.8,2956.3,6.46,4.6
1790304242,cap-2,live,3600.3,4939.0,7.65,3.7
1790304242,cap-3,live,3874.4,2846.3,7.39,5.4
1790304242,cap-4,live,3565.8,4237.7,4.74,2.9
1790304247,cap-1,live,4115.7,2987.9,7.65,2.1
1790304247,cap-2,live,3578.5,4939.0,7.65,5.1
1790304247,cap-3,live,3906.2,2235.9,6.5,3.2
1790304247,cap-4,live,3486.6,4237.7,3.46,4.0
1790304252,cap-1,live,3575.7,5680.3,7.49,3.6
1790304252,cap-2,live,3172.1,4939.0,7.68,2.8
1790304252,cap-3,live,3370.4,6483.9,6.53,1.0
1790304252,cap-4,live,3329.8,4237.7,5.06,1.9
1790304257,cap-1,live,3681.7,5680.3,7.49,4.8
1790304257,cap-2,live,3876.7,4939.0,7.68,3.8
1790304257,cap-3,live,3370.4,6483.9,6.53,6.0
1790304257,cap-4,live,3534.8,4237.7,3.55,2.9
1790304262,cap-1,live,3241.9,4303.3,4.03,2.5
1790304262,cap-2,live,3359.2,4939.0,8.0,1.5
1790304262,cap-3,live,3740.9,4336.1,2.82,3.3
1790304262,cap-4,live,3806.8,4237.7,5.18,4.1
1790304267,cap-1,live,3241.9,4303.3,4.03,7.5
1790304267,cap-2,live,3069.5,3436.5,4.22,1.4
1790304267,cap-3,live,2020.5,4336.1,2.82,2.5
1790304267,cap-4,live,1826.0,3528.9,1.98,3.5
1790304273,cap-1,live,3715.2,12066.0,4.03,5.5
1790304273,cap-2,live,3683.3,3436.5,5.7,2.8
1790304273,cap-3,live,3632.7,12963.9,4.1,3.9
1790304273,cap-4,live,3746.6,3528.9,1.98,4.7
1790304278,cap-1,live,3581.6,12066.0,6.08,3.4
1790304278,cap-2,live,2521.4,9440.8,5.7,5.2
1790304278,cap-3,live,2834.3,12963.9,4.1,4.4
1790304278,cap-4,live,3913.0,9652.1,7.17,2.2
1790304283,cap-1,live,2682.4,12066.0,2.66,4.1
1790304283,cap-2,live,3991.0,3650.7,5.06,2.4
1790304283,cap-3,live,3469.9,11987.3,3.46,3.2
1790304283,cap-4,live,3607.8,3352.5,5.7,1.7
1790304288,cap-1,live,3543.0,12066.6,2.66,5.5
1790304288,cap-2,live,3726.5,3650.7,5.06,3.7
1790304288,cap-3,live,3487.1,11987.3,4.06,4.8
1790304288,cap-4,live,3751.1,3352.5,5.7,2.9
1790304293,cap-1,live,3833.2,12066.6,8.64,3.3
1790304293,cap-2,live,3456.4,3404.1,3.52,5.2
1790304293,cap-3,live,4012.7,11987.3,5.44,2.3
1790304293,cap-4,live,3877.0,3256.8,4.54,4.0
1790304298,cap-1,live,3852.5,12284.2,7.14,0.7
1790304298,cap-2,live,3813.3,3404.1,5.06,2.6
1790304298,cap-3,live,3879.5,12343.9,4.35,3.4
1790304298,cap-4,live,3845.1,3256.8,6.02,1.5
1790304303,cap-1,live,3852.5,4353.6,7.14,5.7
1790304303,cap-2,live,3878.1,3404.1,3.94,3.8
1790304303,cap-3,live,3488.2,4589.0,4.35,4.9
1790304303,cap-4,live,3617.8,3256.8,4.7,2.9
1790304308,cap-1,live,3847.2,5558.4,6.46,3.0
1790304308,cap-2,live,3683.8,11927.6,5.5,5.1
1790304308,cap-3,live,3411.7,3314.5,7.23,2.2
1790304308,cap-4,live,3889.5,12929.2,6.46,4.0
1790304313,cap-1,live,3669.3,5558.4,3.65,4.2
1790304313,cap-2,live,3984.6,5750.4,4.67,2.1
1790304313,cap-3,live,4183.5,9884.8,4.74,3.0
1790304313,cap-4,live,4237.5,4695.6,5.5,1.1
1790304318,cap-1,live,3981.3,7893.4,6.56,5.2
1790304318,cap-2,live,3639.6,5750.4,6.14,3.5
1790304318,cap-3,live,3530.2,9884.8,7.2,4.5
1790304318,cap-4,live,3383.6,4695.6,6.72,2.8
